images,labels,scores,dscores,x,y,count_1,count_2,count_3,count_4,count_5,count_6,species
L_09_05_16_DSC09754.JPG,2,0.24054846167564392,0.1084258034825325,3556.0,44.0,0,1,4,12,1,0,elephant
L_09_05_16_DSC09754.JPG,4,0.7334442734718323,0.06921561062335968,3739.0,98.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,3,0.5397554039955139,0.08530042320489883,2986.0,294.0,0,1,4,12,1,0,kob
L_09_05_16_DSC09754.JPG,4,0.9995608925819397,0.20208193361759186,3933.0,1680.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,3,0.021546732634305954,0.054060786962509155,52.0,1684.0,0,1,4,12,1,0,kob
L_09_05_16_DSC09754.JPG,3,0.021546732634305954,0.05429455637931824,50.0,1685.0,0,1,4,12,1,0,kob
L_09_05_16_DSC09754.JPG,4,0.9857040047645569,0.19073055684566498,4083.0,2034.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,4,0.9999152421951294,0.16734854876995087,4067.0,2218.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,4,0.999996542930603,0.0525486096739769,4051.0,2235.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,4,0.9981094598770142,0.1602696180343628,4017.0,2269.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,4,0.9998698234558105,0.12237623333930969,4076.0,2269.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,4,0.9991008043289185,0.1718449890613556,4075.0,2273.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,4,0.9948129653930664,0.19323593378067017,1238.0,2293.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,4,0.9920318126678467,0.060349464416503906,1258.0,2311.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,5,0.2891969382762909,0.07399862259626389,4749.0,2316.0,0,1,4,12,1,0,warthog
L_09_05_16_DSC09754.JPG,4,0.0056184930726885796,0.07108158618211746,2028.0,2877.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,4,0.4379919767379761,0.10201175510883331,4618.0,3509.0,0,1,4,12,1,0,topi
L_09_05_16_DSC09754.JPG,3,0.4547834098339081,0.1449919492006302,4649.0,3949.0,0,1,4,12,1,0,kob
24f46c6970d9853c964650f655837dc55fe020ae.JPG,6,0.3500021696090698,0.05678640305995941,864.0,22.0,0,0,0,0,0,6,waterbuck
24f46c6970d9853c964650f655837dc55fe020ae.JPG,6,0.99857497215271,0.1803409457206726,1346.0,284.0,0,0,0,0,0,6,waterbuck
24f46c6970d9853c964650f655837dc55fe020ae.JPG,6,0.9625500440597534,0.13785986602306366,1908.0,669.0,0,0,0,0,0,6,waterbuck
24f46c6970d9853c964650f655837dc55fe020ae.JPG,6,0.19190125167369843,0.10890104621648788,4545.0,2001.0,0,0,0,0,0,6,waterbuck
24f46c6970d9853c964650f655837dc55fe020ae.JPG,6,0.7009002566337585,0.04613514989614487,1640.0,2943.0,0,0,0,0,0,6,waterbuck
24f46c6970d9853c964650f655837dc55fe020ae.JPG,6,0.25289595127105713,0.05413578450679779,2073.0,3065.0,0,0,0,0,0,6,waterbuck
L_07_05_16_DSC00709.JPG,3,0.998738706111908,0.1856153905391693,3339.0,1766.0,0,0,2,0,0,1,kob
L_07_05_16_DSC00709.JPG,3,0.8764591217041016,0.2018578052520752,3280.0,1777.0,0,0,2,0,0,1,kob
L_07_05_16_DSC00709.JPG,6,0.167666956782341,0.053639136254787445,232.0,2792.0,0,0,2,0,0,1,waterbuck
L_09_05_16_DSC09960.JPG,1,0.9127552509307861,0.13654358685016632,1286.0,262.0,1,0,5,3,2,2,buffalo
L_09_05_16_DSC09960.JPG,3,0.011137031950056553,0.05703962594270706,5771.0,390.0,1,0,5,3,2,2,kob
L_09_05_16_DSC09960.JPG,4,0.08644463866949081,0.03905482217669487,4485.0,837.0,1,0,5,3,2,2,topi
L_09_05_16_DSC09960.JPG,3,0.48598042130470276,0.07667103409767151,4287.0,1130.0,1,0,5,3,2,2,kob
L_09_05_16_DSC09960.JPG,3,0.47300881147384644,0.0668334811925888,4299.0,1140.0,1,0,5,3,2,2,kob
L_09_05_16_DSC09960.JPG,6,0.16690221428871155,0.038845255970954895,270.0,1198.0,1,0,5,3,2,2,waterbuck
L_09_05_16_DSC09960.JPG,4,0.6994219422340393,0.038587555289268494,1252.0,1310.0,1,0,5,3,2,2,topi
L_09_05_16_DSC09960.JPG,4,0.9818410277366638,0.10658575594425201,1545.0,1568.0,1,0,5,3,2,2,topi
L_09_05_16_DSC09960.JPG,5,0.006293431855738163,0.056353118270635605,720.0,2435.0,1,0,5,3,2,2,warthog
L_09_05_16_DSC09960.JPG,3,0.20822080969810486,0.1189342811703682,4805.0,2886.0,1,0,5,3,2,2,kob
L_09_05_16_DSC09960.JPG,5,0.06203446537256241,0.0441504642367363,1566.0,3037.0,1,0,5,3,2,2,warthog
L_09_05_16_DSC09960.JPG,3,0.9989045858383179,0.16814960539340973,5917.0,3529.0,1,0,5,3,2,2,kob
L_09_05_16_DSC09960.JPG,6,0.09148794412612915,0.08063070476055145,1775.0,3789.0,1,0,5,3,2,2,waterbuck
07ae09515f31979da19adbb3d69544306e1bd731.JPG,6,0.5363339781761169,0.04048001393675804,40.0,0.0,0,4,1,0,0,53,waterbuck
07ae09515f31979da19adbb3d69544306e1bd731.JPG,6,0.9242266416549683,0.10164744406938553,580.0,6.0,0,4,1,0,0,53,waterbuck
07ae09515f31979da19adbb3d69544306e1bd731.JPG,6,0.6199160814285278,0.08161000162363052,30.0,12.0,0,4,1,0,0,53,waterbuck
07ae09515f31979da19adbb3d69544306e1bd731.JPG,6,0.6199160814285278,0.08146470785140991,28.0,14.0,0,4,1,0,0,53,waterbuck
07ae09515f31979da19adbb3d69544306e1bd731.JPG,6,0.04283680021762848,0.0600302629172802,1421.0,14.0,0,4,1,0,0,53,waterbuck
07ae09515f31979da19adbb3d69544306e1bd731.JPG,6,0.6199160814285278,0.041689932346343994,4.0,24.0,0,4,1,0,0,53,waterbuck
